Title,Start date,End date,Date to be decided,Location,Organisers,Meetings summary,Relevance to the post-2020 process,Link to further information,Groupings,2nd grouping (where appropriate),Relation to the CBD's post-2020 process
Ramsar COP13,21/10/2018,29/10/2018,,"Dubai, UAE",Ramsar Convention Secretariat,"At the 13th meeting of the Conference of the Parties to the Ramsar Convention on Wetlands (Ramsar COP13), representatives of the governments of each of the Contracting Parties will meet to discuss, among other things the conservation and wise use of wetlands.",This meetings could provide the opportunity to enhance synergies between the Ramsar Convention on Wetlands and the CBD.,https://www.ramsar.org/event/13th-meeting-of-the-conference-of-the-parties,Intergovernmental processes,,Other relevance
GEO-XV Plenary,31/10/2018,01/11/2018,,"Kyoto, Japan",Group on Earth Observations, The Group on Earth Observations (GEO) Plenary is the highest decision-making body of GEO.,"The GEO Plenary provided an opportunity to exchange knowledge, identify gaps and reduce duplication in the areas of sustainable development and environmental management.",http://www.earthobservations.org/,,,Other relevance
CBD COP14,10/11/2018,22/11/2018,,"Sharm El-Sheikh, Egypt",CBD Secretariat,"The 14th meeting of the Conference of the Parties to the Convention on Biological Diversity (CBD COP14) will address a broad range of issues related to the objectives of the convention. This will include a review of the Convention's progress and implementation, the mainstreaming of biodiversity into key sectors and progress towards developing a post-2020 global biodiversity framework. ",It is expected that Parties will agree on a process for developing the post-2020 global biodiversity framework. The agenda will also include an assessment of the Convention's implementation of the Strategic Plan for Biodiversity 2011-2020 and progress towards achieving the Aichi Biodiversity targets. ,https://www.cbd.int/cop/,Intergovernmental processes,,Part of the formal process
Cartagena Protocol on Biosafety COPMOP9,10/11/2018,22/11/2018,,"Sharm El-Sheikh, Egypt",CBD Secretariat,The 9th Meeting of the Conference of the Parties serving as the Meeting of the Parties to the Cartagena Protocol on Biosafety (COPMOP9) is to review the implementation of the Cartagena Protocol on Biosafety and will contribute to decisions to promote its effective operation. ,It is anticipated that the post-2020 global biodiversity framework will cover the convention and its protocols.,http://bch.cbd.int/protocol/cpb_mopmeetings.shtml,Intergovernmental processes,,Part of the formal process
Nagoya Protocol on Access and Benefit-sharing COPMOP3,10/11/2018,22/11/2018,,"Sharm El-Sheikh, Egypt",CBD Secretariat,The 3rd Meeting of the Conference of the Parties serving as the meeting of the Parties to the Nagoya Protocol on Access and Benefit-sharing (COPMOP3) is to review the implementation of the Nagoya Protocol and make decisions to promote its effective operation.,It is anticipated that the post-2020 global biodiversity framework will cover the convention and its protocols.,https://www.cbd.int/abs/about/default.shtml,Intergovernmental processes,,Part of the formal process
UN World Wildlife Day 2019,03/03/2019,03/03/2019,,Worldwide,CITES Secretariat,UN World Wildlife Day celebrates and raises awareness of the world's wild animals and plants. ,World Wildlife Day aims to raise awareness of biodiversity which relates to Aichi Biodiversity Target 12 of the Strategic Plan for Biodiversity 2011-2020.,http://www.wildlifeday.org/,Communications,,Other relevance
UNEA 4,11/03/2019,15/03/2019,,"Nairobi, Kenya",UN Environment,"The meeting of the UN Environment Assembly (UNEA) will bring together Member States and key stakeholders. Proposed themes are ""food and nature"" and ""sustainable consumption and production"". These will be finalised at the end of February. ",The UNEA constituency is the same as that of the CBD intergovernmental process - the Environment Ministers of the world. ,http://web.unep.org/environmentassembly/,Intergovernmental processes,,Other relevance
UNGA 74,17/09/2019,30/09/2019,,"New York City, US",United Nations,"The 74th Session of the UN General Assembly (UNGA 74) will bring together all 193 Member States of the UN to discuss and work together on a wide array of international issues covered by the UN Charter, such as development, peace and security, international law.  ",This is an opportunity to raise the political profile of the post-2020 process.,http://www.un.org/en/ga/,Intergovernmental processes,,Other relevance
UNFCCC COP24,03/12/2018,14/12/2018,,"Slaskie, Poland",UNFCCC Secretariat,"The twenty-fourth Conference of the Parties to the UN Framework Convention on Climate Change (UNFCCC COP24) will address a broad range of issues related to the objectives of the convention. This will include a review of progress towards the Paris Climate Change Agreement, updates on guidelines for its implementation and transitions in key sectors that will be needed for the Paris Agreemenet to be met. ",The meeting provides an opportunity to consider how the post-2020 global biodiversity framework and the implementation of the Paris agreement can be mutually supportive. ,http://cop24.gov.pl/,Intergovernmental processes,,Other relevance
CBD's Regional Consultation workshops,01/12/2018,31/05/2019,x,Multiple locations,CBD Secretariat,"It is anticipated that 10 regional consultation workshops (2 per region) will be held. These workshops would be open to Parties, other governments, indigenous peoples and local communities, relevant organisations and stakeholders from the relevant regions.",This is a key activity organised by the CBD that is likely to feed into discussions leading to the  post-2020 global biodiversity framework.,,Intergovernmental processes,,Part of the formal process
IPBES-7 Plenary,01/05/2019,30/05/2019,x,"Bonn, Germany",IPBES,The Plenary of the Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES) seventh session will focus on the completion of the IPBES Global Assessment and the anticipated approval of the second programme work.,Findings of the IPBES Global Assessment and future work programme will help to inform the development and implementation of the post-2020 global biodiversity framework. ,https://www.ipbes.net/,Intergovernmental processes,,Other relevance
International Day for Biological Diversity 2019,22/05/2019,22/05/2019,,Worldwide,United Nations,This is a day to increase an understanding and awareness of biodiversity issues.  The theme for this year is to celebrate 25 years of action for biodiversity.,,https://www.cbd.int/idb/,Communications,,Other relevance
World Environment Day 2019,05/06/2019,05/06/2019,,Worldwide,United Nations,World Environment Day is the United Nations’ day for encouraging worldwide awareness and action for the protection of our environment. It is celebrated in over 100 countries.,The day provides an opportunity for driving the momentum and public pressure for the upcoming CBD COP14.,http://worldenvironmentday.global/,Communications,,Other relevance
CITES COP18,23/05/2019,03/06/2019,,"Colombo, Sri Lanka",CITES Secretariat,The eighteenth meeting of the Conference of the Parties to the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES COP18) is expected to address a range of issues ranging from implementation of the Convention and species-specific matters to trade controls and the listing of new species in the Appendices to the CITES.,"Resolutions, decisions and intentions coming out of the meeting will likely form an important component of how national and international strategies on wildlife trade are shaped over the coming years, thus representing relevant input to the post-2020 biodiversity agenda.",https://www.cites.org/,Intergovernmental processes,,Other relevance
